cgpa,backlogs,coding_score,aptitude_score,communication_score,projects,internships,certifications,github_contributions,leetcode_solved,hackathon,soft_skills,placement_status,placement_month
9.98,3,83,35,28,0,0,0,110,115,1,86,1,9
7.69,1,60,56,32,7,0,1,138,86,0,74,1,2
4.89,0,59,79,71,0,1,2,10,158,2,61,0,10
4.99,0,68,39,83,7,0,1,382,169,0,55,0,6
6.16,0,74,88,100,2,0,5,7,46,0,64,1,12
5.36,5,48,46,64,5,3,0,225,124,0,69,1,10
9.09,0,48,57,62,6,0,3,114,55,1,66,0,11
9.45,0,31,77,56,5,1,6,71,108,0,70,0,10
7.06,0,68,48,63,4,0,8,75,91,0,94,1,12
8.67,2,100,49,75,4,1,3,87,78,1,77,1,10
6.11,0,59,41,70,5,0,2,367,75,0,40,1,2
8.4,0,79,75,82,8,1,3,86,264,0,78,1,1
5.74,4,64,100,69,4,0,4,198,84,5,49,1,8
7.11,0,74,57,62,2,0,3,192,131,0,84,0,9
9.43,0,39,55,87,1,0,5,33,57,0,65,0,10
6.95,1,100,42,41,2,0,8,177,28,0,94,1,7
7.98,2,75,22,65,5,2,2,230,21,1,38,0,11
4.8,1,56,74,58,0,0,10,127,207,0,69,0,6
9.99,0,77,38,51,5,0,4,88,38,4,65,1,2
6.0,3,82,59,40,6,1,6,116,156,0,58,0,8
6.31,0,51,62,65,0,0,3,468,26,3,92,1,12
6.09,0,58,37,54,5,0,4,86,10,0,49,0,9
8.31,0,58,79,59,4,1,6,68,143,0,79,1,6
8.69,0,59,30,52,4,0,2,219,135,1,68,0,11
6.67,0,77,92,70,7,0,3,66,205,0,79,1,11
5.23,0,67,28,46,0,0,2,161,137,0,78,1,7
9.03,0,73,78,53,0,1,0,75,48,0,67,0,8
6.17,0,75,65,49,6,0,9,251,101,0,48,1,4
8.55,3,78,32,45,5,3,4,51,17,0,36,1,6
6.34,0,75,73,57,7,3,6,139,3,1,70,1,5
4.54,0,83,61,92,3,1,7,63,32,0,47,0,8
8.39,3,70,63,62,2,0,1,6,130,0,73,0,11
6.36,4,48,27,75,3,0,3,103,44,1,100,1,5
5.89,0,71,59,59,3,0,4,310,24,1,49,1,2
5.94,4,55,44,76,5,0,0,152,183,0,41,1,10
9.57,0,83,67,60,7,1,2,127,50,0,70,1,12
9.3,2,55,40,67,5,0,4,208,2,2,73,0,7
7.98,1,87,99,70,1,1,2,169,87,0,53,0,8
9.09,1,29,35,64,3,1,6,98,187,0,82,0,11
6.99,3,53,43,36,1,0,4,227,109,0,28,0,11
9.41,2,53,63,73,1,3,2,106,18,0,46,1,7
8.42,2,62,59,72,0,1,3,304,217,1,49,1,1
8.67,0,58,44,71,8,3,2,82,110,1,87,1,12
7.18,1,76,24,68,3,0,0,86,36,1,86,0,12
7.12,4,70,52,78,8,1,4,117,55,0,60,1,11
8.6,0,61,52,53,2,1,2,288,108,2,78,1,4
5.01,0,44,73,52,5,1,4,64,135,0,62,1,1
7.3,5,68,51,70,6,2,4,178,90,0,47,0,10
8.19,0,88,32,51,1,2,0,238,78,1,60,0,7
6.86,0,69,63,81,6,1,6,181,90,0,84,1,6
5.43,3,79,3,70,1,0,8,66,68,0,44,1,4
8.65,0,56,50,78,6,1,1,5,106,0,76,1,11
8.65,1,55,52,69,5,3,0,176,59,1,69,1,11
9.11,0,39,41,77,4,0,2,478,31,1,70,1,6
9.65,0,67,65,53,6,0,3,223,23,1,100,1,8
7.09,0,67,89,22,2,2,0,19,9,0,60,1,4
9.25,3,78,56,55,2,2,0,220,108,1,83,1,4
7.97,0,65,63,32,4,1,0,277,2,0,85,1,2
8.51,1,59,50,23,4,0,3,57,162,0,64,1,12
6.05,3,84,16,62,4,0,0,123,116,0,91,0,8
9.68,0,65,49,54,2,2,1,140,80,0,48,1,9
5.84,2,93,52,95,8,1,6,149,60,0,97,0,8
6.07,0,60,71,67,2,1,1,65,42,1,72,0,7
5.73,1,63,49,58,4,0,1,26,102,1,61,0,10
7.04,4,43,71,100,0,0,0,476,77,0,55,1,4
8.55,2,74,70,65,5,1,2,333,119,0,54,1,4
4.68,0,59,15,46,3,1,3,237,81,0,87,1,4
7.38,5,53,76,49,0,1,7,151,136,0,72,0,11
4.98,0,64,66,57,1,0,1,225,122,5,75,1,3
8.93,2,43,81,62,0,1,4,168,5,3,53,0,10
6.83,0,82,81,96,8,0,4,403,23,1,47,1,9
9.25,0,60,70,62,7,0,5,77,35,0,71,1,12
4.62,0,40,45,62,3,1,6,112,40,4,85,1,6
9.76,0,64,91,59,0,1,6,52,314,0,84,1,7
7.58,0,37,100,66,2,1,1,160,105,0,52,0,12
5.88,0,73,49,62,6,1,6,1,54,3,55,1,1
6.1,1,74,78,99,7,3,1,31,105,0,65,1,12
6.16,2,72,48,50,3,1,8,191,15,0,79,0,10
5.82,0,60,59,57,4,2,0,215,140,0,64,1,8
6.54,1,55,61,99,2,0,3,50,3,3,60,0,11
4.98,1,78,41,100,0,0,0,286,20,0,46,0,8
5.89,0,100,47,59,11,0,7,154,37,2,70,1,2
7.19,1,80,65,85,0,0,7,297,41,0,83,1,1
5.57,4,70,55,57,7,0,6,53,2,0,56,0,6
9.47,1,74,57,45,8,1,4,160,7,1,68,1,2
8.92,0,53,66,42,4,0,3,201,48,1,84,1,5
9.49,0,56,72,39,4,0,1,295,9,2,68,1,12
4.99,0,48,36,52,0,0,3,247,77,1,62,0,9
9.79,3,75,57,60,6,1,0,386,116,0,71,1,9
8.93,0,50,39,29,9,0,2,71,27,0,77,1,3
8.08,1,76,75,93,7,1,1,190,90,0,96,1,1
9.4,2,70,72,71,2,0,3,136,168,0,46,1,12
5.84,0,55,50,65,0,0,0,365,41,0,79,0,6
5.61,3,48,60,53,5,0,1,31,128,1,70,1,11
7.43,0,85,75,62,6,0,2,205,61,1,71,1,2
7.01,0,32,100,54,3,0,4,139,235,0,64,0,6
8.1,1,66,49,56,3,0,1,270,108,0,100,1,11
9.4,2,69,49,42,10,0,2,243,14,0,72,1,3
6.49,0,71,45,53,7,0,0,63,2,3,82,1,6
6.53,3,39,51,69,10,0,2,137,46,0,56,0,10
5.21,0,89,9,45,3,0,0,56,100,0,51,0,9
8.9,0,98,69,65,8,0,2,329,108,0,56,1,12
5.48,1,43,73,54,3,2,0,7,185,0,49,1,12
6.97,0,100,63,90,3,0,4,248,97,1,58,1,12
6.37,2,51,63,54,4,1,2,6,63,1,59,0,11
8.95,4,51,86,35,5,0,3,16,212,2,56,1,2
6.98,3,81,54,44,3,1,6,100,32,0,46,0,9
7.78,0,57,94,23,6,1,7,339,75,1,58,1,8
7.45,1,49,60,87,4,0,8,105,21,0,88,0,10
6.75,2,62,70,42,0,2,2,25,126,0,67,1,7
9.31,0,63,59,45,3,0,7,257,80,0,47,0,7
6.04,0,93,35,92,6,2,0,184,116,0,50,1,9
5.09,1,64,99,88,3,0,1,339,59,0,65,1,3
8.64,0,53,35,67,4,1,1,200,61,0,79,1,5
7.85,0,92,37,73,10,0,4,117,4,0,59,1,2
7.68,1,46,94,61,4,0,3,10,37,0,56,1,6
8.41,0,65,61,62,1,1,2,77,43,0,87,1,4
9.2,2,35,44,82,0,1,4,24,29,0,67,0,7
8.67,5,50,46,76,2,0,5,176,90,1,48,0,7
7.27,0,67,43,63,1,2,0,23,44,1,60,1,1
4.8,4,98,49,43,9,0,1,168,177,1,82,1,7
5.42,1,71,66,44,5,1,8,488,79,0,98,1,2
6.66,0,22,87,100,4,1,0,34,135,0,74,1,6
9.48,0,45,23,71,1,0,1,35,122,1,76,1,3
4.95,0,76,49,63,5,0,0,202,103,0,58,1,6
7.41,1,40,26,80,2,0,0,360,115,1,39,1,9
7.08,5,89,64,63,2,1,3,133,84,1,34,1,4
5.28,0,63,72,66,3,0,0,7,213,1,80,1,11
9.26,1,39,49,45,8,3,0,73,54,0,52,1,2
7.26,0,53,41,40,2,1,7,106,83,0,67,0,12
9.46,1,73,100,66,0,3,7,434,89,0,57,1,6
5.08,1,77,61,81,12,1,7,66,156,0,64,1,12
5.92,0,27,73,67,3,2,6,68,184,0,39,0,7
9.57,5,81,69,40,8,3,5,266,100,1,45,1,12
8.0,0,36,60,60,4,0,5,355,23,0,50,0,9
9.86,0,76,65,75,0,2,9,71,47,0,100,1,7
5.62,1,63,22,70,3,1,2,68,99,2,84,0,9
7.53,0,39,63,72,0,1,8,124,105,0,69,1,3
5.24,1,78,22,65,5,1,4,61,45,1,40,0,6
8.56,4,75,71,58,0,0,4,146,4,0,37,0,10
5.27,1,62,46,48,10,1,7,139,1,0,65,0,9
8.31,0,100,28,2,5,0,3,214,25,1,69,1,5
8.55,0,86,35,55,1,2,4,200,3,0,88,0,11
5.22,0,72,28,68,2,0,0,151,211,1,63,0,12
8.71,0,56,76,91,3,0,8,159,164,1,45,1,9
4.66,0,57,59,75,4,0,7,202,156,2,99,1,5
7.29,0,55,50,86,1,0,2,164,208,2,81,1,11
9.24,2,56,100,71,2,0,7,211,41,1,100,1,7
9.37,2,59,57,68,1,1,0,62,62,0,55,0,9
4.87,5,63,52,99,2,0,3,164,58,0,69,1,9
6.25,3,59,67,88,1,0,8,67,9,0,73,0,9
8.74,3,58,54,67,10,0,8,76,35,3,59,1,8
8.01,0,72,86,63,3,0,3,220,27,0,46,1,2
7.08,1,64,60,64,3,0,0,213,231,0,56,0,11
8.86,1,53,47,45,2,0,9,35,37,0,63,1,7
6.96,0,67,100,74,5,1,6,48,151,0,66,0,11
8.6,1,77,100,77,8,0,3,4,34,0,42,0,7
8.83,1,75,84,61,12,1,3,156,127,0,86,1,9
6.79,1,48,53,78,11,0,3,39,20,0,62,1,11
7.61,0,80,29,61,1,0,9,151,127,0,61,1,11
6.68,1,84,66,78,3,0,6,90,176,0,32,1,5
9.17,0,49,76,72,6,1,1,135,35,3,56,1,11
5.65,2,53,69,63,2,1,3,257,107,0,49,1,11
5.16,2,57,40,52,5,0,1,380,12,1,64,1,6
9.51,4,68,52,79,5,0,0,83,28,0,78,0,7
4.97,0,72,43,76,6,0,2,211,132,0,70,1,7
5.03,1,86,67,80,4,1,8,2,78,0,74,1,5
7.42,0,54,96,100,3,1,0,106,59,0,36,1,5
6.68,0,30,22,76,4,0,0,119,29,0,59,1,7
8.8,0,42,49,64,1,0,4,211,82,0,62,1,2
7.16,0,100,53,83,2,0,6,38,50,4,75,1,11
7.3,0,56,17,52,1,0,2,446,9,1,65,0,12
5.7,0,46,51,57,1,0,1,135,71,2,63,1,1
5.84,3,80,40,54,1,1,0,65,154,1,88,0,9
9.17,1,78,69,40,1,0,6,320,153,0,57,1,3
5.06,2,80,72,20,8,1,5,13,31,0,71,1,2
7.31,1,76,69,72,2,1,0,92,74,0,86,1,1
6.43,0,68,53,74,8,0,4,204,28,1,100,1,12
6.95,0,59,55,50,5,0,5,290,48,0,46,1,12
4.9,0,60,55,54,3,0,2,2,107,4,36,0,6
7.17,1,53,54,40,3,1,2,327,28,3,75,1,1
8.06,1,70,50,69,5,0,0,132,31,1,27,1,9
5.21,3,48,77,32,3,0,0,188,154,0,90,0,9
5.97,5,95,45,72,3,0,3,164,9,1,45,1,10
7.17,0,71,35,59,3,0,7,20,65,0,66,1,9
9.51,1,55,70,69,4,0,3,63,84,1,49,1,6
8.04,0,88,33,83,2,0,4,32,161,0,87,1,11
7.89,4,53,26,23,1,3,4,13,70,2,57,0,7
5.38,3,51,100,82,0,0,0,295,32,0,54,0,7
8.92,3,100,33,67,2,1,5,19,94,2,59,1,1
9.9,5,69,66,78,1,1,2,6,86,3,81,1,8
8.76,0,69,89,43,2,1,0,49,10,1,74,0,9
9.78,2,68,40,49,5,1,1,213,94,0,82,1,3
7.27,3,49,46,91,3,1,3,243,265,2,55,0,8
4.66,0,74,68,79,3,0,1,384,74,2,44,0,8
7.32,0,89,81,65,3,0,7,390,206,0,73,0,11
5.11,0,80,83,19,2,0,0,113,47,0,78,1,6
9.01,0,37,43,37,4,0,2,139,90,3,64,0,8
6.7,5,65,78,56,2,1,9,218,17,0,61,1,5
5.34,0,71,64,61,3,0,9,204,163,4,95,1,6
4.63,0,80,57,84,3,0,1,193,26,0,65,1,6
5.2,0,81,48,61,1,0,2,32,156,1,24,0,6
6.84,3,65,91,60,4,1,4,225,19,1,70,1,6
5.9,5,46,30,80,3,0,7,161,76,0,49,1,8
5.36,1,77,83,85,1,0,1,171,100,0,54,1,12
8.37,3,76,44,56,2,0,2,40,16,0,41,1,2
5.62,0,74,62,52,7,1,1,194,121,0,33,1,7
6.37,5,92,77,62,4,0,5,383,22,0,79,0,12
7.87,0,73,74,58,2,1,5,221,30,3,76,0,12
8.79,0,71,49,65,2,0,2,194,48,0,41,1,9
7.5,0,21,80,94,7,1,4,107,149,4,30,1,6
8.48,0,61,83,62,3,0,3,76,1,3,65,0,8
8.76,2,54,58,63,6,2,7,358,90,0,56,1,2
7.56,1,61,60,82,0,2,6,76,38,4,56,1,10
8.93,0,70,79,79,8,0,0,95,12,1,64,1,3
9.67,0,72,47,45,1,3,3,123,135,1,82,1,11
5.38,1,72,57,90,8,1,7,286,113,0,64,1,2
6.72,4,91,100,48,1,0,9,18,68,0,67,0,7
6.76,1,81,72,44,3,1,4,60,179,0,52,1,3
8.91,4,55,66,76,10,0,1,328,77,0,53,1,10
4.89,4,92,66,69,8,0,4,29,272,0,44,1,4
8.43,1,38,67,52,8,0,5,56,20,1,81,1,5
5.55,0,62,86,58,3,1,1,46,125,0,76,1,3
9.98,0,100,83,68,3,1,5,177,77,0,39,1,11
9.86,0,86,51,61,2,0,2,139,123,0,40,1,10
8.24,1,44,90,51,1,0,3,252,22,0,47,1,1
5.15,0,97,60,88,2,0,5,372,127,2,59,0,9
4.99,0,48,50,53,0,1,5,285,60,1,27,1,3
7.09,0,84,15,49,1,0,6,454,20,0,70,0,11
8.93,0,82,44,62,7,0,1,88,40,0,44,0,12
8.81,0,56,37,86,3,1,1,291,130,0,28,1,9
6.86,2,82,98,85,2,1,1,214,15,1,63,0,6
8.79,4,64,47,81,12,1,6,31,105,0,58,1,2
5.28,1,84,66,82,3,1,9,346,136,0,85,1,7
8.19,1,68,65,53,3,0,4,117,18,0,75,1,10
5.56,0,36,88,26,2,1,6,117,46,1,56,1,5
5.4,0,55,30,61,8,2,0,7,59,3,55,1,7
7.98,1,58,57,61,7,2,1,21,2,0,60,1,5
9.07,1,38,60,26,3,0,5,181,111,1,76,0,10
8.94,1,95,67,39,3,0,2,321,136,0,53,1,1
9.44,0,58,67,76,2,0,3,46,25,0,65,0,9
7.02,3,28,58,100,8,0,0,168,249,1,79,1,4
9.24,1,54,61,54,2,2,0,306,26,0,73,1,3
6.67,3,61,75,52,8,0,2,57,149,1,94,0,8
6.02,2,74,36,75,4,0,2,32,4,0,79,0,7
5.99,0,98,56,47,7,1,3,147,20,0,36,1,6
9.84,1,58,49,75,2,1,0,132,73,0,75,1,6
6.89,0,64,19,79,2,1,6,34,38,0,76,1,9
6.61,0,68,40,42,3,1,1,326,61,0,76,0,9
5.31,1,47,49,52,5,2,6,180,238,1,54,0,10
5.57,0,65,80,60,3,2,5,70,98,0,98,1,5
5.22,1,55,33,32,4,1,6,70,68,1,46,0,6
7.69,0,55,51,47,4,2,7,12,13,0,63,0,12
4.81,0,37,37,85,7,0,7,186,29,0,70,0,11
8.75,4,55,50,77,3,0,7,174,58,0,62,0,6
6.29,1,71,56,52,5,1,2,283,84,0,27,0,12
8.83,5,82,83,85,8,0,1,34,97,0,39,1,3
4.76,0,68,62,69,5,1,8,370,58,0,49,1,9
5.13,0,59,73,78,1,0,6,240,149,0,69,0,9
7.29,0,74,35,49,3,0,0,166,50,2,65,1,2
8.82,0,42,31,73,6,1,2,135,52,0,49,1,2
5.36,0,56,49,52,1,2,0,180,133,0,72,1,1
5.34,0,76,50,77,7,0,4,201,100,1,54,1,6
6.97,4,69,72,61,11,0,2,109,10,1,61,0,9
8.1,0,83,54,82,10,0,5,116,83,0,71,0,11
5.0,0,55,54,78,8,1,0,124,75,1,94,1,4
4.82,0,57,77,92,8,0,1,48,103,0,66,1,3
6.28,2,90,36,33,9,0,3,109,87,0,37,1,3
9.05,0,52,58,43,1,1,4,459,93,0,46,1,3
5.35,0,39,82,86,4,0,2,90,11,0,65,1,12
8.93,2,71,41,23,5,0,0,417,167,3,55,1,6
6.98,0,41,28,46,4,0,4,52,131,2,54,0,11
9.84,0,34,45,73,2,2,1,278,34,2,89,1,4
8.41,0,77,60,100,0,0,10,128,126,3,66,0,11
5.2,1,51,32,42,8,0,2,27,22,0,62,0,10
6.59,0,71,41,69,4,2,0,94,117,0,75,1,8
9.58,1,62,32,62,6,0,0,132,118,0,55,1,10
8.24,0,42,75,58,1,0,2,115,59,1,83,1,3
6.85,0,50,72,56,4,0,3,179,37,1,43,1,10
8.87,0,82,29,46,5,0,1,47,52,3,65,1,10
7.8,1,94,22,97,5,0,2,132,140,0,51,1,6
7.63,0,91,59,66,2,0,7,14,101,2,41,0,12
4.57,0,45,80,71,7,1,3,199,38,0,79,1,8
6.76,1,78,71,94,8,3,0,255,165,2,55,1,8
4.55,4,51,74,78,5,2,0,226,3,4,71,1,7
8.54,3,30,36,62,5,0,7,81,8,0,65,1,2
5.25,1,77,79,75,4,0,6,58,171,0,87,1,12
8.05,3,74,74,49,6,3,3,13,170,1,72,0,8
6.89,1,30,88,48,7,2,0,18,45,0,77,1,12
5.44,0,62,95,80,8,3,7,235,71,0,36,1,6
5.91,0,85,67,52,6,0,3,149,16,0,63,0,10
6.24,1,63,14,74,7,1,2,102,66,0,69,0,6
5.11,5,57,45,67,2,2,8,144,113,2,57,0,7
6.89,2,61,63,59,8,0,2,167,166,1,40,1,9
8.94,0,81,56,49,11,2,3,64,182,5,77,1,1
8.7,0,76,50,44,6,2,2,141,63,1,76,1,8
9.17,1,94,34,68,3,1,5,85,117,0,56,1,4
6.63,0,66,75,56,8,1,6,155,8,0,99,1,8
5.22,0,55,62,70,5,0,4,105,137,2,87,0,10
5.17,0,47,37,67,2,1,3,0,17,0,75,0,9
9.87,1,66,61,71,12,0,3,286,55,3,57,1,11
8.55,5,97,34,85,5,1,7,117,77,0,87,0,10
6.98,5,81,94,37,2,0,0,316,27,0,67,0,8
6.62,0,71,75,49,7,1,0,240,32,0,83,1,1
7.26,1,80,71,85,4,0,9,88,93,0,76,1,2
8.78,0,52,7,91,3,2,4,82,114,0,69,1,7
7.03,2,98,61,46,3,1,6,80,19,0,48,0,6
9.29,1,99,27,60,4,0,1,275,90,0,50,1,11
6.77,0,74,43,66,3,0,4,181,82,0,18,0,6
9.74,4,71,40,52,10,0,6,43,181,1,55,1,1
6.4,0,80,91,41,6,0,4,69,31,2,20,1,5
9.52,0,76,69,59,5,1,3,29,17,1,49,1,5
9.2,0,86,85,83,6,1,6,187,63,1,65,1,12
6.81,2,55,88,47,3,0,6,206,81,2,66,1,1
5.42,4,49,45,58,2,0,6,257,101,4,69,1,4
6.31,0,67,100,62,10,0,5,59,62,1,78,1,9
8.13,0,64,23,41,5,1,0,74,80,0,66,1,12
8.24,0,91,95,64,2,0,6,146,112,0,80,0,11
7.67,1,64,68,65,0,0,0,168,184,1,52,1,2
8.13,0,45,32,57,2,2,0,177,165,1,56,1,2
5.18,0,53,76,36,4,0,7,175,0,3,67,0,12
5.61,0,91,77,58,8,0,7,49,44,0,53,0,11
5.13,1,82,53,66,5,0,2,68,114,0,67,0,6
8.29,1,71,25,68,1,1,3,7,206,0,66,1,12
9.8,2,69,71,32,4,0,8,1,0,0,70,0,12
7.75,0,76,62,59,2,1,2,167,97,0,16,0,10
4.53,0,60,73,49,6,1,3,91,37,2,56,1,4
4.82,3,88,69,61,8,0,0,117,67,5,67,1,10
9.15,0,57,67,60,2,1,2,121,19,0,44,1,6
6.99,2,43,58,46,5,1,8,77,134,0,75,0,11
5.51,0,72,47,46,4,0,6,339,109,2,34,1,6
9.76,4,86,77,59,2,1,3,17,164,0,74,1,12
6.17,3,68,29,69,3,0,3,257,54,0,63,0,7
5.06,0,64,68,38,2,0,2,90,93,5,34,0,12
5.23,1,86,86,74,0,0,3,146,124,0,55,0,10
6.67,1,76,20,32,5,2,7,252,143,1,86,0,8
4.64,0,42,62,40,4,2,6,59,113,0,69,0,8
8.24,3,74,44,85,2,2,4,57,77,0,58,1,9
8.52,0,55,70,84,3,2,0,411,8,0,68,1,6
4.87,0,66,62,57,5,0,2,338,40,0,67,1,7
6.53,0,70,36,41,0,2,8,67,64,1,56,1,11
7.22,0,45,76,69,5,0,5,76,83,0,49,1,5
9.52,0,65,34,69,7,0,3,76,99,4,58,1,4
6.66,3,68,78,48,2,0,7,244,63,0,58,1,7
6.51,0,91,26,33,7,1,2,78,16,0,74,0,12
8.43,0,55,35,63,2,0,0,90,83,1,49,1,8
5.37,1,80,33,52,4,0,3,145,130,0,53,1,10
9.7,1,63,97,51,4,0,7,134,192,0,71,1,2
8.22,0,88,65,100,1,0,3,40,206,0,75,1,12
4.62,3,77,37,53,3,0,2,261,63,0,52,1,2
8.96,3,51,36,34,3,2,5,291,273,3,57,1,2
6.77,0,58,37,56,1,1,3,191,169,1,35,1,9
8.32,0,59,76,51,2,0,5,81,142,2,70,1,5
8.84,0,97,66,66,0,0,2,12,266,0,60,1,11
6.7,2,62,49,52,1,1,1,41,58,1,39,1,9
5.9,0,96,38,66,7,0,8,57,17,1,30,1,12
7.2,0,53,51,46,3,0,8,77,204,1,30,1,1
6.57,0,27,47,60,3,0,8,18,180,0,80,1,7
6.47,3,100,50,63,1,1,2,69,62,1,73,0,9
4.94,0,50,45,45,4,0,1,97,54,1,51,1,4
8.5,0,74,28,89,2,1,0,56,23,0,53,0,12
7.95,0,74,68,90,1,0,2,42,113,0,55,1,7
6.46,3,58,41,47,4,0,5,18,121,0,84,0,10
7.16,0,72,51,36,2,0,9,267,35,0,81,1,6
9.88,1,72,78,62,6,0,5,61,1,1,31,1,6
6.54,2,55,40,70,4,0,8,89,45,1,38,1,10
7.08,2,50,74,68,8,0,5,198,83,0,63,1,6
5.14,0,88,51,49,8,0,2,229,115,1,54,1,4
4.93,0,59,69,6,4,3,10,33,135,1,63,1,2
6.46,2,55,61,43,1,2,0,28,91,2,34,0,11
9.57,1,56,67,59,1,1,2,68,83,1,99,1,4
7.29,2,70,38,66,8,1,3,179,59,0,47,0,8
8.22,3,65,6,87,2,1,7,412,94,0,80,0,8
6.88,2,78,61,56,0,0,3,27,80,1,47,1,5
6.27,0,92,37,60,2,0,1,52,9,0,38,1,4
4.98,0,56,70,36,7,1,1,85,105,0,60,0,6
7.24,2,84,49,66,1,0,9,279,57,0,45,1,10
9.57,0,72,56,71,7,2,3,324,98,2,69,1,6
5.93,0,84,56,58,4,0,9,224,161,0,74,1,2
9.68,3,70,65,88,3,1,0,14,54,0,91,1,6
8.91,2,55,73,50,1,0,4,220,99,1,71,1,8
8.87,0,74,81,63,4,0,2,239,91,0,76,1,5
5.69,0,75,80,63,3,3,6,366,27,0,62,1,6
6.19,0,77,74,72,7,0,0,48,49,0,74,1,9
6.58,0,81,74,100,6,2,2,99,133,1,67,1,11
4.97,0,60,48,61,2,2,5,182,161,0,81,1,5
5.69,3,65,63,64,2,1,4,75,33,0,73,0,9
7.51,1,60,58,73,4,0,4,131,169,1,54,1,8
7.21,0,98,61,77,2,3,2,281,14,2,76,1,5
9.06,4,60,61,27,4,0,5,357,62,0,57,1,10
6.56,1,53,69,58,7,1,0,221,103,0,66,1,5
5.52,1,46,68,40,2,1,1,325,10,1,63,1,8
6.58,0,68,42,55,4,1,0,1,5,2,67,1,10
8.98,0,59,60,53,1,0,2,114,26,0,82,0,7
8.86,0,78,75,67,8,1,3,263,0,1,76,0,7
6.51,0,43,34,81,2,1,2,216,230,0,72,0,6
6.34,2,51,52,63,4,0,6,421,119,0,72,1,4
4.62,0,60,44,66,8,2,2,111,48,1,62,0,6
9.22,0,56,12,49,8,0,10,45,117,0,57,1,10
6.23,0,50,52,70,5,0,2,14,51,1,67,1,11
8.41,4,56,63,34,4,0,1,2,7,2,64,1,3
6.94,0,87,18,42,0,2,4,367,17,0,67,0,7
6.97,0,68,69,84,2,1,1,145,39,0,27,1,1
6.63,3,81,56,71,5,1,2,87,13,0,51,0,8
7.17,1,22,48,75,7,0,4,174,175,0,91,0,6
5.35,0,87,90,57,1,1,7,162,85,3,77,0,8
8.97,2,53,95,72,4,0,1,131,146,2,58,1,7
8.05,0,53,29,67,9,0,5,121,178,0,53,1,3
5.38,0,81,80,61,6,3,6,32,182,1,61,1,10
5.42,1,55,58,13,12,0,1,107,69,0,76,1,12
5.19,0,55,61,59,2,0,0,349,47,0,100,0,11
8.49,0,85,40,36,2,1,4,212,57,0,69,0,10
7.89,0,63,50,56,5,0,6,39,109,0,84,1,10
4.64,0,46,64,69,4,1,8,181,203,0,80,1,11
6.62,0,87,93,75,0,1,2,35,161,0,76,1,10
8.07,0,73,75,54,11,1,0,177,45,0,72,1,8
6.27,0,49,56,47,6,0,2,51,351,0,43,0,11
8.18,2,46,74,39,2,2,2,116,158,0,45,1,11
7.92,0,78,49,69,5,0,9,58,102,0,91,0,6
6.58,4,64,54,65,2,0,2,94,109,1,99,0,12
6.33,1,78,56,83,5,1,4,291,260,0,64,1,12
4.91,1,68,43,53,7,0,8,20,22,0,95,0,10
6.06,0,80,36,59,4,0,1,77,7,2,68,1,9
6.93,2,64,17,43,8,0,6,39,5,0,52,1,11
9.49,1,76,37,57,12,1,5,153,153,0,68,1,7
5.23,5,75,24,59,2,1,0,58,150,2,94,0,12
9.87,0,56,65,22,3,1,2,39,150,0,93,1,3
8.22,0,59,57,78,2,1,4,61,152,2,41,1,1
9.23,2,51,88,44,6,2,2,289,45,1,46,0,9
7.96,5,46,52,60,4,0,8,2,127,3,44,1,5
9.52,0,41,70,72,3,3,1,283,98,1,75,1,9
4.77,0,100,89,77,0,0,4,232,3,0,48,1,7
6.97,2,69,84,50,3,0,2,465,87,0,67,1,5
4.64,0,72,56,77,6,3,4,162,136,0,74,1,3
8.67,3,41,52,69,6,0,5,129,217,0,70,0,11
9.19,0,86,51,57,5,2,1,423,186,3,62,1,8
6.72,0,68,77,66,1,0,5,143,171,0,72,1,3
6.34,0,91,84,42,4,1,7,115,208,1,37,1,1
9.38,0,69,33,86,0,3,7,158,101,0,70,1,3
6.3,5,82,55,59,6,2,0,197,6,0,67,1,9
7.48,2,62,65,68,5,3,3,54,64,0,61,0,6
4.81,2,53,27,52,7,0,6,412,41,2,64,0,12
9.42,3,65,52,67,3,0,4,327,25,0,76,0,6
9.3,4,41,80,78,2,0,0,28,197,0,39,0,10
8.04,1,40,78,52,4,1,3,21,116,0,78,1,9
6.22,2,100,64,61,9,0,0,81,178,0,64,0,7
7.63,0,52,47,40,8,2,10,102,231,0,42,1,1
5.67,2,90,96,67,2,0,4,285,98,0,70,1,7
5.08,0,64,66,61,4,0,4,209,44,5,85,1,5
8.08,0,60,100,41,7,0,3,30,37,0,53,1,4
4.6,0,76,47,50,10,0,3,2,80,0,57,0,8
7.46,4,100,88,98,0,1,1,17,53,1,69,0,7
6.19,0,72,65,58,3,1,0,160,128,0,68,1,10
4.52,2,53,63,85,2,0,2,198,96,0,37,1,1
5.32,0,45,79,79,1,0,3,164,68,0,100,0,11
6.83,1,48,91,77,3,0,2,271,45,0,18,1,8
6.98,4,44,52,55,3,0,8,281,149,3,37,1,1
4.61,0,68,39,69,8,0,6,60,49,0,46,1,3
6.22,4,74,96,43,2,1,3,249,107,0,34,1,6
5.59,0,82,79,69,7,2,4,205,10,1,65,0,9
7.16,2,71,78,67,0,1,6,175,1,0,67,1,1
8.7,0,46,63,55,2,0,7,1,45,0,66,1,11
5.53,0,43,26,31,7,2,2,216,166,0,49,0,12
4.62,0,89,88,15,0,0,5,240,34,0,65,0,9
